,published_date,title,publisher,kode_emitten
92,2023-04-10,"Pendapatan Barito Pacific (BRPT) Merosot 6,15% pada 2022",Kontan,BRPT
93,2023-06-05,"BRPT dan TPIA Rajin Ekspansi, Begini Prospek Kinerja dan Rekomendasi Sahamnya",Kontan,BRPT
94,2023-06-12,"Emiten Prajogo Pangestu, Barito Pacific (BRPT) Membagikan Dividen US$ 10 Juta",Kontan,BRPT
95,2023-06-13,"Tebar Dividen dan Rajin Ekspansi, Barito Pacific (BRPT) Makin Optimistis Pada 2023",Kontan,BRPT
96,2023-06-15,Langkah Nyata Grup Barito Pacific Manfaatkan Limbah Plastik untuk Ekonomi Sirkular,Kontan,BRPT
97,2023-06-15,Simak Jadwal Pembayaran Dividen Barito Pacific (BRPT) Senilai US$ 10 Juta,Kontan,BRPT
98,2023-06-20,"Emiten Prajogo Pangestu Barito Pacific (BRPT) Laba Rp349,74 Miliar Meski Pendapatan Turun",Bisnis,BRPT
99,2023-06-20,"Cum Dividen BRPT Hari Ini, Prajogo Pangestu Dapat Rp106,07 Miliar",Bisnis,BRPT
100,2023-08-01,"Laba Barito Pacific (BRPT) Punya Prajogo Pangestu Terbang 243,43% di Semester I-2023",Kontan,BRPT
101,2023-08-01,"Laba Barito Pacific (BRPT) Naik 243 Persen, Intip Strategi Emiten Prajogo Pangestu",Bisnis,BRPT
102,2023-08-02,"IHSG Hari Ini Rawan Koreksi, Cermati Saham BBRI, BRPT hingga TKIM",Bisnis,BRPT
103,2023-08-13,"Saham IDX Value 30 Diskon, ASII, HRUM, hingga BRPT Dapat Dicermati",Bisnis,BRPT
104,2023-08-22,"Prajogo Pangestu Borong 10,5 Juta Saham Barito Pacific",CNBC Indonesia,BRPT
105,2023-08-22,"Konglomerat Prajogo Pangestu Tambah 10,52 Juta Saham di Barito Pacific (BRPT)",Kontan,BRPT
106,2023-09-01,"Saham BRPT Ngacir, Gegara Prajogo Borong Lagi?",CNBC Indonesia,BRPT
107,2023-09-02,Konglomerat Prajogo Pangestu Getol Borong Saham Barito Pacific (BRPT),Bisnis,BRPT
108,2023-09-07,"Saham Prajogo dan Panigoro: CUAN, BRPT, MEDC & AMMN Tersengat Komoditas",Bisnis,BRPT
109,2023-09-08,Indonesia Power-Barito Pacific (BRPT) Bakal Punya PLTU Hybrid Pertama di RI,Bisnis,BRPT
