,published_date,title,publisher,kode_emitten
128,2020-01-16,"Perkuat Mental, Jakarta BNI 46 Bidik Gelar Juara Proliga 2020",CNBC Indonesia,BBNI
129,2020-01-17,"Semester I/2020, BNI Syariah Bakal Tambah Dua Outlet Baru di Sumut",Bisnis,BBNI
130,2020-01-20,"BNI Salurkan KUR Rp17,8 Triliun pada 2019",Bisnis,BBNI
131,2020-01-22,BNI Pertimbangkan Buka Cabang di Kamboja dan Vietnam,CNBC Indonesia,BBNI
132,2020-01-23,BNI Kaji Tambah Kantor Cabang di Kamboja dan Vietnam,Bisnis,BBNI
133,2020-01-23,BNI Tengah Mengincar Bank Kecil untuk Diakuisisi,Bisnis,BBNI
134,2020-01-29,BNI Kembali Salurkan Bansos Hingga KUR Graduasi KPM di 2020,CNBC Indonesia,BBNI
135,2020-02-03,"Virus Corona: Kirimkan 25.000 Masker ke Hong Kong, Erick Thohir Apresiasi BNI",Bisnis,BBNI
136,2020-02-06,Saluran Kredit BNI Balikpapan Ditargetkan Naik 15 Persen,Bisnis,BBNI
137,2020-02-06,"Kolaborasi BNI & PWI, Ajak Wartawan Kenali UKM Kalsel Sukses",CNBC Indonesia,BBNI
138,2020-02-07,Ini Cara BNI Melestarikan Kain Sasirangan Khas dari Kalsel,CNBC Indonesia,BBNI
139,2020-02-14,"Bank BNI Juga Punya ATM Pecahan Rp20.000, di Sini Tempatnya",Bisnis,BBNI
140,2020-02-18,BNI Dorong Eksportir Tembus Jepang Lewat BNI Smart Trade,CNBC Indonesia,BBNI
141,2020-02-20,"Jadi Bos Baru BNI, Siapa Herry Sidharta?",CNBC Indonesia,BBNI
142,2020-02-20,"Resmi, Dua Mantan Bankir BRI Jadi Direksi BNI",CNBC Indonesia,BBNI
143,2020-02-20,"Beredar Kabar, Agus Martowardojo akan Jadi Komut BNI",CNBC Indonesia,BBNI
144,2020-02-20,"Di Depan DPR, Erick Jelaskan Arah Bisnis Mandiri, BRI & BNI",CNBC Indonesia,BBNI
145,2020-02-20,Erick Thohir Jelaskan Alasan Agus Marto Jadi Komut BNI,CNBC Indonesia,BBNI
146,2020-02-20,"Bakal Jadi Komut BNI, Ini Sepak Terjang Agus Martowardojo",CNBC Indonesia,BBNI
147,2020-02-20,"Gelar RUPST Siang Ini, Dirut BNI Bakal Diganti?",CNBC Indonesia,BBNI
148,2020-02-20,"Herry Sidharta Pimpin BNI, Ini Susunan Lengkap Direksi",Bisnis,BBNI
149,2020-02-20,"Perombakan Direksi BNI, Apakah Achmad Baiquni Diganti?",Bisnis,BBNI
150,2020-02-24,BNI Syariah Resmikan Relokasi Kantor Cabang Veteran Makassar,Bisnis,BBNI
151,2020-02-24,BNI Raih Penghargaan Remitansi Terbaik ASEAN ke-11 Kali,CNBC Indonesia,BBNI
152,2020-02-24,"Baru Seumur Jagung, Kenapa Direktur Milenial BNI Diganti?",Bisnis,BBNI
153,2020-02-25,"Kinerja Bank BNI Bakal Terhambat, Analis Tetap Rekomendasikan Beli Saham BBNI",Kontan,BBNI
154,2020-02-28,"Di BNI Java Jazz Festival 2020, BNI Kenalkan 6 TapCash Baru",CNBC Indonesia,BBNI
155,2020-02-29,Ini Dia Promo Bunga Kredit Murah di BNI Java Jazz Festival,CNBC Indonesia,BBNI
156,2020-03-03,"Disokong BNI, Kain Tenun NTT Siap Masuk New York",CNBC Indonesia,BBNI
157,2020-03-04,"Remunerasi Bank BUMN 2019: BNI Naik, BTN Turun",Bisnis,BBNI
158,2020-03-04,"Dari Garut, Usaha Jaket Kulit Binaan BNI Ini Merambah Ekspor",CNBC Indonesia,BBNI
159,2020-03-04,"Dibina BNI, Sepatu Lukis Asal Jogja Menembus Ekspor 3 Benua",CNBC Indonesia,BBNI
160,2020-03-05,"Isi Kantong Petinggi BRI, Mandiri, BNI, dan BTN, Siapa Paling Tebal?",Bisnis,BBNI
161,2020-03-16,"Pegawai Positif Corona, BNI Tekan Penyebaran dan Atur Sistem Kerja",Bisnis,BBNI
162,2020-03-16,"Tekan Penyebaran COVID-19, BNI Atur Sistem Kerja",CNBC Indonesia,BBNI
163,2020-03-19,BNI Mobile Banking Siaga 24 Jam untuk Layani Transaksi,CNBC Indonesia,BBNI
164,2020-03-23,"Belajar di Rumah, BNI & Ruangguru Siapkan Hadiah Rp 200 Juta",CNBC Indonesia,BBNI
165,2020-03-24,"BNI Cabang Luar Negeri Tetap Beroperasi, Nasabah Diimbau Bertransaksi Online",Bisnis,BBNI
166,2020-03-25,"Physical Distancing, BNI Alihkan Layanan Sebagian Cabang",CNBC Indonesia,BBNI
167,2020-03-27,"BNI Siapkan Skema Restrukturisasi Kredit, Ini Syaratnya",CNBC Indonesia,BBNI
168,2020-03-27,BNI Syariah Peduli Terhadap Meluasnya Penyebaran Virus Corona,Bisnis,BBNI
169,2020-03-28,"Physical Distancing, TKI di Singapura Manfaatkan BNI MoRe",CNBC Indonesia,BBNI
170,2020-03-30,BNI Syariah Siapkan Skema Keringanan Pembiayaan Nasabah Terdampak Corona,Bisnis,BBNI
171,2020-03-30,Mengukur Peluang BNI Setelah Virus Corona Berlalu,CNBC Indonesia,BBNI
172,2020-04-01,Uang pensiun Taspen bisa diambil di ATM Bank BNI,Kontan,BBNI
173,2020-04-07,BNI Naikkan Limit Transfer Mobile Banking Jadi Rp 200 Juta,CNBC Indonesia,BBNI
174,2020-04-09,Pegawai BNI Ikut Galang Bantuan Melawan COVID-19,Bisnis,BBNI
175,2020-04-15,"Bedah Teknikal & Fundamental BNI, Benarkah Sudah Murah?",CNBC Indonesia,BBNI
176,2020-04-15,Calon Peserta Kartu Pra-Kerja Bisa Buka Rekening BNI di Rumah,CNBC Indonesia,BBNI
177,2020-04-22,"Dari 1997 ke 2020, BNI Melewati Berbagai Krisis",CNBC Indonesia,BBNI
178,2020-04-23,Perhatian! Ini Jam Operasional BNI Selama Ramadan,Bisnis,BBNI
179,2020-04-23,"Selama Ramadan, BNI Berlakukan Jam Operasional Baru",CNBC Indonesia,BBNI
180,2020-04-28,Ini 9 Keuntungan Bila Buka Rekening Kartu Prakerja di BNI,Bisnis,BBNI
181,2020-04-28,Ini Cara Gampang Buka Rekening BNI Penerima Kartu Prakerja,Bisnis,BBNI
182,2020-04-29,"Buka Rekening Kartu Prakerja BNI, Bebas Biaya & Setoran Nol Rupiah!",Bisnis,BBNI
183,2020-05-01,"Berkah Ramadan, BNI Sebar 125.000 Paket ke Seluruh Indonesia",CNBC Indonesia,BBNI
184,2020-05-10,"Per April 2020, BNI Salurkan Bansos Rp5,4 Triliun",Bisnis,BBNI
185,2020-05-11,Butuh uang tunai mendesak? Tarik tunai kartu kredit BNI saja di ATM dengan cara ini,Kontan,BBNI
186,2020-05-11,"BNI Rilis Sertifikat Deposito Rp1,39 Triliun",Bisnis,BBNI
187,2020-05-13,"Cek! Ini Bunga Deposito BRI, Bank Mandiri, BNI, BCA, dan CIMB Niaga",Bisnis,BBNI
188,2020-05-13,"Ramadan-Lebaran 2020, BNI Siapkan Uang Tunai Rp10,24 Triliun Per Minggu",Bisnis,BBNI
189,2020-05-16,"Di Masa Pandemi, Pengguna BNI Mobile Banking Meningkat 84 Persen",Bisnis,BBNI
190,2020-05-20,"Sambut Lebaran, BNI Syariah Siapkan Uang Tunai Rp2,1 Triliun",Bisnis,BBNI
191,2020-05-21,"Karyawan BNI Sisihkan THR Rp 130,2 M untuk Tangkal Covid-19",CNBC Indonesia,BBNI
192,2020-05-22,Transaksi Daring Kartu Kredit Syariah BNI Naik 49 Persen,Bisnis,BBNI
193,2020-05-25,BNI dan Bank Mandiri Siap Adaptasi New Normal dengan Strategi Digital,Bisnis,BBNI
194,2020-05-28,"New Normal, Ini Cara Baru Tarik Tunai Tanpa Kartu di ATM BNI",CNBC Indonesia,BBNI
195,2020-05-29,BNI Siapkan APD bagi Petugas Pos Penyalur Bansos Tunai,CNBC Indonesia,BBNI
196,2020-06-06,Viral! Kisah Nasabah Tuli Dapat Pengalaman Unik di BNI,CNBC Indonesia,BBNI
197,2020-06-07,"Risiko Kredit Berpotensi Memburuk, Bank BNI Fokus Restrukturisasi",Bisnis,BBNI
198,2020-06-11,"IHSG Goyang! Saham Mandiri, BNI, BRI & BCA Terjun Bebas",CNBC Indonesia,BBNI
199,2020-06-15,"Lawan Corona, Pegawai BNI Galang Donasi Rp 10 M dari Uang THR",CNBC Indonesia,BBNI
200,2020-06-19,"1 Direksi Tak Lolos Fit & Proper, BNI Penuhi Keputusan OJK",CNBC Indonesia,BBNI
201,2020-06-19,"Wadirut BNI Tak Lolos Fit And Proper OJK, Ini Sikap Perseroan",Bisnis,BBNI
202,2020-06-21,BNI Ajak Pekerja Migran Indonesia di Korsel Berinvestasi,CNBC Indonesia,BBNI
203,2020-06-21,BNI Ajak Pekerja Migran Indonesia di Korea Selatan Mulai Berinvestasi,Bisnis,BBNI
204,2020-06-22,Bikin bangga! Alumni UGM borong jabatan Direksi di Bank BNI,Kontan,BBNI
205,2020-06-25,"BRI, Mandiri, BNI & BTN Raih Rp 30 T, Saham Mana Paling Cuan?",CNBC Indonesia,BBNI
206,2020-06-29,Jangan Kudet! Kini Bisa Top Up TapCash BNI Lewat GoPay,CNBC Indonesia,BBNI
207,2020-07-01,"Wadirut BNI Tak Lolos Fit and Proper Test, Dirut Jelaskan Langkah Selanjutnya",Bisnis,BBNI
208,2020-07-02,"Wajib pakai PIN untuk transaksi, simak sederet tawaran diskon kartu kredit dari BNI",Kontan,BBNI
209,2020-07-04,"Rayakan HUT di Tengah Pandemi, BNI Satukan Energi Optimis untuk Indonesia",Bisnis,BBNI
