,published_date,title,publisher,kode_emitten
86,2022-08-12,Pefindo Menaikkan Rating Obligasi Merdeka Copper Gold (MDKA) Jadi A+,Kontan,MDKA
87,2022-08-19,"Merdeka Copper (MDKA) Suntik Rp2,97 Triliun ke JV Tsingshan Group, Buat Apa?",Bisnis,MDKA
88,2022-08-23,"Setelah MDKA, Provident Investasi (PALM) Siap Masuk Mega Manunggal Property (MMLP)",Bisnis,MDKA
89,2022-11-07,"Waran Terstruktur BBCA hingga MDKA Siap Meluncur, Hari Ini Penawaran Terakhir",Bisnis,MDKA
90,2022-11-10,"Waran Terstruktur BMRI, BBCA, ANTM, PGAS, MDKA Masuk Bursa, Ini Profilnya",Bisnis,MDKA
91,2022-12-13,"Merdeka Cooper (MDKA) Caplok Saham Anak Sendiri, Mau Ngapain?",CNBC Indonesia,MDKA
92,2022-12-13,Merdeka Copper Gold (MDKA) Suntik Anak Usaha US$180 Juta,Bisnis,MDKA
93,2022-12-19,"Gokil, Cuan Merdeka Cooper (MDKA) Ngegas 279,3%! Kok Bisa?",CNBC Indonesia,MDKA
94,2022-12-20,"Fokus Garap Proyek Emas Pani, MDKA Gabung Dua Anak Usaha",Bisnis,MDKA
95,2022-12-21,"Bandingkan Kinerja Emiten Tambang Emas: ANTM, BRMS, MDKA, ARCI, Mana Paling Berkilau?",Kontan,MDKA
96,2023-01-06,"Saham MDKA Melesat, Terpantik Rencana IPO Merdeka Battery (MBM)",Bisnis,MDKA
97,2023-01-27,"Kongsi Adaro & MDKA, Ambisi Boy Thohir Jadi Raja Ekosistem EV",CNBC Indonesia,MDKA
98,2023-02-01,Wakil Presdir Merdeka Copper Gold (MDKA) Undur Diri,Bisnis,MDKA
99,2023-02-06,"Merdeka Battery Materials (MBM) Segera IPO, MDKA Bakal Ketiban Untung",Bisnis,MDKA
100,2023-02-09,"Grup MDKA Merdeka Battery (MBM) IPO Bulan Depan, Siapkan Sederet Ekspansi",Bisnis,MDKA
101,2023-02-09,Tambang Tembaga Bawah Tanah Merdeka Copper (MDKA) Beroperasi 2028,Bisnis,MDKA
102,2023-02-17,"GOTO dan MDKA Jadi Penghuni Baru Indeks FTSE Russell, Cek Lengkapnya",Bisnis,MDKA
103,2023-02-20,"Masuk Indeks FTSE, Cek Rekomendasi Saham GOTO, CMRY hingga MDKA",Kontan,MDKA
104,2023-02-20,"Mendadak Boy Thohir Mundur Dari MDKA, Ada Apa Nih?",CNBC Indonesia,MDKA
105,2023-02-21,"Utang MDKA Rp 18 T dan Valuasi Mahal, Kok Banyak Yang Beli",CNBC Indonesia,MDKA
106,2023-02-23,"Saham MDKA Ambles Lagi, Ada Apa Nih?",CNBC Indonesia,MDKA
107,2023-03-05,Begini Prospek Merdeka Copper Gold (MDKA) Jelang IPO Merdeka Battery Materials,Kontan,MDKA
108,2023-03-05,"Anak Usaha Bakal IPO, Begini Rekomendasi Saham Merdeka Copper Gold (MDKA)",Kontan,MDKA
109,2023-03-15,"Rencana IPO Sektor Tambang Nikel Ramai, Ada Anak Usaha MDKA Hingga Grup Harita",Kontan,MDKA
110,2023-03-16,Merdeka Copper (MDKA) Lunasi Utang Obligasi Rp 971 Miliar,Kontan,MDKA
111,2023-03-21,Begini Kabar Proyek Hilirisasi Nikel Terkini Anak Usaha Merdeka Copper (MDKA),Kontan,MDKA
112,2023-03-28,"Anak Usaha Merdeka Copper Gold (MDKA) Mau IPO, Berikut Alokasi Penggunaan Dananya",Kontan,MDKA
