datetime,symbol,open,high,low,close,volume
2018-10-31 09:00:00,IDX:INKP,12800.0,13100.0,12650.0,12725.0,10886700.0
2018-11-01 09:00:00,IDX:INKP,12900.0,13000.0,11250.0,11700.0,15757000.0
2018-11-02 09:00:00,IDX:INKP,11775.0,12100.0,11300.0,11700.0,9416800.0
2018-11-05 09:00:00,IDX:INKP,11700.0,11700.0,10900.0,10900.0,8005900.0
2018-11-06 09:00:00,IDX:INKP,10900.0,11275.0,10675.0,10975.0,6703600.0
2018-11-07 09:00:00,IDX:INKP,11000.0,11400.0,11000.0,11175.0,6430800.0
2018-11-08 09:00:00,IDX:INKP,11300.0,11700.0,11025.0,11375.0,11140800.0
2018-11-09 09:00:00,IDX:INKP,11375.0,11450.0,11050.0,11275.0,5871600.0
2018-11-12 09:00:00,IDX:INKP,11150.0,11425.0,10950.0,11000.0,6371800.0
2018-11-13 09:00:00,IDX:INKP,10900.0,11225.0,10825.0,11025.0,6170500.0
2018-11-14 09:00:00,IDX:INKP,11175.0,11825.0,11150.0,11700.0,9956400.0
2018-11-15 09:00:00,IDX:INKP,11750.0,11850.0,11475.0,11475.0,5751600.0
2018-11-16 09:00:00,IDX:INKP,11625.0,11975.0,11425.0,11900.0,6618100.0
2018-11-19 09:00:00,IDX:INKP,11900.0,12175.0,11250.0,11250.0,11434200.0
2018-11-21 09:00:00,IDX:INKP,11150.0,11600.0,11000.0,11450.0,6098700.0
2018-11-22 09:00:00,IDX:INKP,11575.0,12150.0,11500.0,12075.0,9065900.0
2018-11-23 09:00:00,IDX:INKP,12125.0,13350.0,12125.0,13300.0,8117200.0
2018-11-26 09:00:00,IDX:INKP,13300.0,13675.0,13100.0,13675.0,9787900.0
2018-11-27 09:00:00,IDX:INKP,13800.0,13800.0,12200.0,12200.0,15458300.0
2018-11-28 09:00:00,IDX:INKP,12150.0,12350.0,11475.0,11700.0,11750500.0
2018-11-29 09:00:00,IDX:INKP,12000.0,12100.0,11600.0,11700.0,9170600.0
2018-11-30 09:00:00,IDX:INKP,11600.0,11700.0,10425.0,10500.0,24336900.0
2018-12-03 09:00:00,IDX:INKP,10800.0,10900.0,10475.0,10500.0,8185000.0
2018-12-04 09:00:00,IDX:INKP,10500.0,11625.0,10500.0,11575.0,10498100.0
2018-12-05 09:00:00,IDX:INKP,11300.0,11675.0,11200.0,11600.0,6229200.0
2018-12-06 09:00:00,IDX:INKP,11500.0,11550.0,11100.0,11550.0,5836100.0
2018-12-07 09:00:00,IDX:INKP,11500.0,11600.0,11400.0,11500.0,3881600.0
2018-12-10 09:00:00,IDX:INKP,11600.0,11600.0,11400.0,11475.0,2828900.0
2018-12-11 09:00:00,IDX:INKP,11475.0,11550.0,10900.0,11000.0,6932600.0
2018-12-12 09:00:00,IDX:INKP,11100.0,11500.0,11100.0,11500.0,3563900.0
2018-12-13 09:00:00,IDX:INKP,11525.0,12200.0,11375.0,12200.0,9631200.0
2018-12-14 09:00:00,IDX:INKP,12050.0,12175.0,11750.0,11875.0,4757200.0
2018-12-17 09:00:00,IDX:INKP,11750.0,11800.0,11375.0,11375.0,4133500.0
2018-12-18 09:00:00,IDX:INKP,11300.0,12100.0,11100.0,12000.0,5678800.0
2018-12-19 09:00:00,IDX:INKP,12050.0,12200.0,11575.0,12000.0,6099000.0
2018-12-20 09:00:00,IDX:INKP,11775.0,11925.0,11600.0,11675.0,3573400.0
2018-12-21 09:00:00,IDX:INKP,11500.0,11800.0,11500.0,11600.0,4147000.0
2018-12-26 09:00:00,IDX:INKP,11500.0,11700.0,11250.0,11650.0,1874400.0
2018-12-27 09:00:00,IDX:INKP,11750.0,11975.0,11750.0,11900.0,2105000.0
2018-12-28 09:00:00,IDX:INKP,11900.0,11950.0,11500.0,11550.0,3938900.0
2019-01-02 09:00:00,IDX:INKP,11650.0,11650.0,11275.0,11500.0,2102600.0
2019-01-03 09:00:00,IDX:INKP,11450.0,11500.0,11150.0,11300.0,3957900.0
2019-01-04 09:00:00,IDX:INKP,11200.0,11375.0,11175.0,11225.0,3082400.0
2019-01-07 09:00:00,IDX:INKP,11400.0,11500.0,11150.0,11150.0,4473800.0
2019-01-08 09:00:00,IDX:INKP,11275.0,11500.0,11250.0,11300.0,4329800.0
2019-01-09 09:00:00,IDX:INKP,11400.0,11650.0,11375.0,11575.0,4511000.0
2019-01-10 09:00:00,IDX:INKP,11700.0,12575.0,11675.0,12575.0,12416300.0
2019-01-11 09:00:00,IDX:INKP,12700.0,12975.0,12300.0,12725.0,8621800.0
2019-01-14 09:00:00,IDX:INKP,12725.0,12725.0,12100.0,12600.0,4123500.0
2019-01-15 09:00:00,IDX:INKP,12600.0,12875.0,12350.0,12875.0,4889500.0
2019-01-16 09:00:00,IDX:INKP,12875.0,12900.0,12550.0,12700.0,4405800.0
2019-01-17 09:00:00,IDX:INKP,12700.0,12975.0,12500.0,12650.0,5953800.0
2019-01-18 09:00:00,IDX:INKP,12650.0,12650.0,12200.0,12300.0,4232900.0
2019-01-21 09:00:00,IDX:INKP,12400.0,12600.0,11900.0,11950.0,5940200.0
2019-01-22 09:00:00,IDX:INKP,11925.0,12050.0,11725.0,11925.0,4137600.0
2019-01-23 09:00:00,IDX:INKP,11925.0,12450.0,11925.0,12450.0,6089400.0
2019-01-24 09:00:00,IDX:INKP,12475.0,12725.0,12300.0,12725.0,5572300.0
2019-01-25 09:00:00,IDX:INKP,12825.0,13125.0,12575.0,13100.0,6937000.0
2019-01-28 09:00:00,IDX:INKP,13100.0,13550.0,13100.0,13525.0,8321000.0
2019-01-29 09:00:00,IDX:INKP,13500.0,13700.0,13125.0,13200.0,4636700.0
2019-01-30 09:00:00,IDX:INKP,13300.0,13450.0,13000.0,13250.0,4629200.0
2019-01-31 09:00:00,IDX:INKP,13250.0,13375.0,13000.0,13000.0,8248600.0
2019-02-01 09:00:00,IDX:INKP,13100.0,13125.0,12625.0,12675.0,4023000.0
2019-02-04 09:00:00,IDX:INKP,12675.0,13050.0,12500.0,12500.0,3889600.0
2019-02-06 09:00:00,IDX:INKP,12525.0,13175.0,12525.0,13100.0,6353500.0
2019-02-07 09:00:00,IDX:INKP,13200.0,13300.0,12800.0,12950.0,2978600.0
2019-02-08 09:00:00,IDX:INKP,12600.0,12850.0,12500.0,12675.0,3767700.0
2019-02-11 09:00:00,IDX:INKP,12600.0,12750.0,12350.0,12500.0,2038300.0
2019-02-12 09:00:00,IDX:INKP,12500.0,12700.0,12075.0,12450.0,2967500.0
2019-02-13 09:00:00,IDX:INKP,12475.0,12650.0,12250.0,12625.0,3338800.0
2019-02-14 09:00:00,IDX:INKP,12525.0,12600.0,11975.0,11975.0,3317500.0
2019-02-15 09:00:00,IDX:INKP,11975.0,12000.0,11425.0,11500.0,4521300.0
2019-02-18 09:00:00,IDX:INKP,11600.0,11900.0,11600.0,11875.0,2816000.0
2019-02-19 09:00:00,IDX:INKP,11875.0,12100.0,11675.0,11925.0,2376900.0
2019-02-20 09:00:00,IDX:INKP,11950.0,12250.0,11950.0,12250.0,5017500.0
2019-02-21 09:00:00,IDX:INKP,12250.0,12250.0,12100.0,12175.0,1604500.0
2019-02-22 09:00:00,IDX:INKP,12000.0,12200.0,11750.0,12175.0,2151200.0
2019-02-25 09:00:00,IDX:INKP,12150.0,12425.0,11925.0,12175.0,2903200.0
2019-02-26 09:00:00,IDX:INKP,12175.0,12300.0,11850.0,12050.0,2705800.0
2019-02-27 09:00:00,IDX:INKP,11850.0,12000.0,11600.0,11775.0,2932800.0
2019-02-28 09:00:00,IDX:INKP,11700.0,11700.0,11025.0,11025.0,7760800.0
2019-03-01 09:00:00,IDX:INKP,11150.0,11300.0,11000.0,11175.0,2924500.0
2019-03-04 09:00:00,IDX:INKP,11275.0,11275.0,11100.0,11250.0,1584300.0
2019-03-05 09:00:00,IDX:INKP,11250.0,11250.0,11000.0,11025.0,2410000.0
2019-03-06 09:00:00,IDX:INKP,11025.0,11150.0,10700.0,10725.0,4116700.0
2019-03-08 09:00:00,IDX:INKP,10700.0,10900.0,10625.0,10650.0,2714400.0
2019-03-11 09:00:00,IDX:INKP,10650.0,10675.0,10250.0,10250.0,4952100.0
2019-03-12 09:00:00,IDX:INKP,10350.0,10375.0,9525.0,9525.0,12077400.0
2019-03-13 09:00:00,IDX:INKP,9525.0,9550.0,8775.0,8950.0,14470200.0
2019-03-14 09:00:00,IDX:INKP,8950.0,9750.0,8850.0,9225.0,13543800.0
2019-03-15 09:00:00,IDX:INKP,9300.0,10075.0,9300.0,9700.0,19053600.0
2019-03-18 09:00:00,IDX:INKP,9800.0,10150.0,9775.0,10100.0,10324800.0
2019-03-19 09:00:00,IDX:INKP,10125.0,10200.0,9625.0,10050.0,11426600.0
2019-03-20 09:00:00,IDX:INKP,10075.0,10500.0,9900.0,10200.0,9784700.0
2019-03-21 09:00:00,IDX:INKP,10200.0,10400.0,10075.0,10200.0,5519000.0
2019-03-22 09:00:00,IDX:INKP,10200.0,10250.0,9750.0,9800.0,7990400.0
2019-03-25 09:00:00,IDX:INKP,9600.0,9625.0,9225.0,9250.0,9066200.0
2019-03-26 09:00:00,IDX:INKP,9350.0,9475.0,9125.0,9250.0,8513100.0
2019-03-27 09:00:00,IDX:INKP,9275.0,9375.0,9100.0,9250.0,5857700.0
2019-03-28 09:00:00,IDX:INKP,9300.0,9550.0,9150.0,9250.0,5619500.0
2019-03-29 09:00:00,IDX:INKP,9300.0,9350.0,8600.0,8600.0,18300400.0
2019-04-01 09:00:00,IDX:INKP,8700.0,8800.0,8125.0,8200.0,7056900.0
2019-04-02 09:00:00,IDX:INKP,8225.0,8500.0,8225.0,8325.0,5792200.0
2019-04-04 09:00:00,IDX:INKP,8325.0,8400.0,7700.0,7725.0,13589500.0
2019-04-05 09:00:00,IDX:INKP,7750.0,8275.0,7750.0,8125.0,10458100.0
2019-04-08 09:00:00,IDX:INKP,8175.0,8350.0,7900.0,8200.0,8417700.0
2019-04-09 09:00:00,IDX:INKP,8300.0,8625.0,8150.0,8575.0,10201700.0
2019-04-10 09:00:00,IDX:INKP,8525.0,8525.0,8075.0,8375.0,21520500.0
2019-04-11 09:00:00,IDX:INKP,8275.0,8275.0,8025.0,8050.0,5074700.0
2019-04-12 09:00:00,IDX:INKP,8000.0,8075.0,7775.0,8025.0,5876400.0
2019-04-15 09:00:00,IDX:INKP,8050.0,8150.0,7900.0,7925.0,3127500.0
2019-04-16 09:00:00,IDX:INKP,7925.0,7950.0,7775.0,7775.0,6351700.0
2019-04-18 09:00:00,IDX:INKP,8000.0,8000.0,7500.0,7500.0,12150800.0
2019-04-22 09:00:00,IDX:INKP,7600.0,7650.0,7125.0,7200.0,7944600.0
2019-04-23 09:00:00,IDX:INKP,7200.0,7425.0,7150.0,7325.0,5163600.0
2019-04-24 09:00:00,IDX:INKP,7325.0,7400.0,7175.0,7225.0,3885100.0
2019-04-25 09:00:00,IDX:INKP,7200.0,7325.0,7075.0,7100.0,3616900.0
2019-04-26 09:00:00,IDX:INKP,7100.0,7150.0,6825.0,6875.0,5154100.0
2019-04-29 09:00:00,IDX:INKP,6875.0,7450.0,6775.0,7400.0,6791700.0
2019-04-30 09:00:00,IDX:INKP,7400.0,7700.0,7375.0,7400.0,11109000.0
2019-05-02 09:00:00,IDX:INKP,7375.0,7400.0,6875.0,6900.0,9110600.0
2019-05-03 09:00:00,IDX:INKP,6900.0,6925.0,6550.0,6675.0,4744800.0
2019-05-06 09:00:00,IDX:INKP,6500.0,6975.0,6425.0,6925.0,4030700.0
2019-05-07 09:00:00,IDX:INKP,6975.0,7075.0,6775.0,6775.0,3297200.0
2019-05-08 09:00:00,IDX:INKP,6700.0,6800.0,6575.0,6750.0,4273600.0
