,datetime,open,high,low,close,volume,SMA_5,SMA_10,SMA_20,SMA_50,EMA_5,EMA_10,EMA_20,EMA_50,RSI,MACD,MACD_SIGNAL,UPPERBAND,MIDDLEBAND,LOWERBAND,negative,positive,total_news,sentiment,type,ground_truth,prediction
1096,2021-05-17,2670.0,2670.0,2500.0,2510.0,185205000.0,2620.0,2587.0,2476.0,2386.4,2595.167066634171,2569.052761432659,2507.214107754687,2440.1220801844083,52.02321801044853,69.10408704436122,54.474810903961256,2722.6090022687736,2476.0,2229.3909977312264,0.0,7.0,7.0,2,test,1,1.0
1097,2022-08-04,1980.0,2020.0,1950.0,1970.0,72889500.0,1994.0,1908.0,1787.5,1998.1,1966.1519140033463,1914.0002931156407,1871.9390660865245,1979.1199363375704,56.026705978716,16.28207927090989,-33.395257398401114,2089.7829800038367,1787.5,1485.2170199961631,1.0,2.0,3.0,2,test,1,1.0
1098,2022-01-27,1775.0,1790.0,1750.0,1765.0,133831800.0,1832.0,1840.5,2011.25,2193.3,1811.287202140487,1865.2395378282345,1967.1262214545543,2128.312343573084,32.98264044976724,-125.76294114833765,-110.67362240323884,2417.056296156183,2011.25,1605.4437038438166,0.0,4.0,4.0,2,test,2,2.0
1099,2020-06-24,605.0,620.0,600.0,605.0,58104500.0,607.0,600.5,584.5,542.8,604.2180734543547,600.2596885646174,585.04047829998,563.7638546754769,57.75703344715315,20.699477115103832,21.622459415954268,649.9904573201318,584.5,519.0095426798682,1.0,1.0,2.0,1,test,2,2.0
1100,2020-03-05,635.0,650.0,625.0,630.0,53646700.0,607.0,631.0,666.75,751.5,621.5228264514851,632.7694428127362,662.1944709729029,726.5181382307436,36.91592966237053,-39.26943116323844,-38.337421786248086,760.6262483272526,666.75,572.8737516727474,1.0,3.0,4.0,2,test,0,0.0
1101,2023-09-04,1975.0,1980.0,1950.0,1950.0,50595200.0,1977.0,1976.5,1982.75,1987.1,1968.7572314179936,1974.81600210722,1979.9028866318167,1988.3473216620143,39.99969587934024,-5.772521409660612,-3.934061169624575,2032.996890451052,1982.75,1932.5031095489485,6.0,7.0,13.0,2,test,0,0.0
1102,2019-05-10,740.0,750.0,720.0,745.0,57424000.0,753.0,799.0,841.0,916.1,759.2199201533693,788.1517868380888,827.1877820741563,876.0516093962648,27.118031443934232,-45.88443529275048,-35.23915257331523,954.7365376649036,841.0,727.2634623350965,0.0,1.0,1.0,2,test,2,2.0
1103,2021-10-26,2450.0,2460.0,2400.0,2400.0,64791500.0,2446.0,2434.0,2371.5,2364.2,2427.7701512873286,2422.1465424138214,2399.949625055877,2386.676376515757,50.79946509652446,23.87849526777518,17.92993856666168,2534.506134853876,2371.5,2208.493865146124,0.0,2.0,2.0,2,test,1,1.0
1104,2019-09-30,990.0,1000.0,965.0,975.0,73819000.0,1001.0,1028.5,1064.25,1031.5,1001.5748690280697,1023.219012838766,1041.3093315236626,1017.3969708398572,37.453658817942326,-12.609198357861716,2.346634593058284,1154.9845028090197,1064.25,973.5154971909805,1.0,3.0,4.0,2,test,0,0.0
1105,2019-11-19,820.0,835.0,815.0,835.0,35948500.0,823.0,829.5,868.5,947.9,827.1823929665868,835.5433235306353,863.1650942118214,917.609388214692,37.00382761140508,-37.880093571987686,-39.05461753034406,972.859954005356,868.5,764.1400459946441,0.0,1.0,1.0,2,test,0,0.0
