,published_date,title,publisher,kode_emitten
74,2019-05-26,"Profit Asuransi Umum BCA Naik Hingga 20,52 Persen",Bisnis,BBCA
75,2019-05-28,284 Cabang BCA Beroperasi Terbatas pada Libur Idulfitri 2019,Bisnis,BBCA
76,2019-06-01,"Ini jadwal layanan operasional BCA, Bank Mandiri, BRI dan BNI saat libur Lebaran",Kontan,BBCA
77,2019-06-10,"Usai Caplok Bank Royal, BCA akan Akuisisi Satu Bank Lagi",CNBC Indonesia,BBCA
78,2019-06-10,"Tembus Harga Rp 30.100, Saham BCA Rekor Tertinggi Sejak IPO",CNBC Indonesia,BBCA
79,2019-06-11,BCA bakal suntik modal BCA Syariah di kuartal II-2019,Kontan,BBCA
80,2019-06-11,"Harga Saham Rekor Lagi, BCA Tiap Hari Cetak Laba Rp 57,14 M",CNBC Indonesia,BBCA
81,2019-06-12,Bos BCA: Bank Royal Kemungkinan Dimerger ke BCA Syariah,CNBC Indonesia,BBCA
82,2019-06-17,Pertumbuhan Kartu Kredit BCA Stabil,Bisnis,BBCA
83,2019-06-20,BCA Akuisisi Bank Royal,Bisnis,BBCA
84,2019-06-21,"Cegah penjaminan berganda, BCA Finance ikut terapkan sistem pendaftaran agunan",Kontan,BBCA
85,2019-06-28,"Simak rekomendasi BBCA, PTBA dan ACES berikut ini",Kontan,BBCA
86,2019-06-28,KlikBCA,Kontan,BBCA
87,2019-06-30,BCA Tak Patok Kenaikan NIM Hingga Akhir Tahun,Bisnis,BBCA
88,2019-07-02,BCA Rogoh Kocek Rp500 Miliar untuk Sewa Asrama BCA Learning Institute,Bisnis,BBCA
89,2019-07-02,"Sewa Asrama Karyawan, BCA Rogoh Kocek hingga Rp 497 M",CNBC Indonesia,BBCA
90,2019-07-07,BCA dan BNN Gelar Pelatihan Relawan Anti Narkoba,Bisnis,BBCA
91,2019-07-12,"Saham BCA & BRI Rekor, Bobot Sektor Perbankan Capai 33,5%",CNBC Indonesia,BBCA
92,2019-07-18,"Tingkatkan Penetrasi Produk, Ini Inovasi Digital Terkini BCA Life",Bisnis,BBCA
93,2019-07-21,BCA Kembali Raih Gallup Great Workplace Award,Bisnis,BBCA
94,2019-07-22,"Wuih, Saham BBCA Tembus Rekor Baru",CNBC Indonesia,BBCA
95,2019-07-24,"BCA Hati-hati Beri Kredit, Kenapa?",CNBC Indonesia,BBCA
96,2019-07-24,"Deposito Bank BCA tumbuh 18,1% di semester I, apa dampaknya terhadap kinerja?",Kontan,BBCA
97,2019-07-30,Lagi! Vera Eva Lim Tambah Kepemilikan Saham BCA,CNBC Indonesia,BBCA
98,2019-08-05,"1.500 ATM BCA Down, Dirut: Kami Tak Bisa Apa-apa",CNBC Indonesia,BBCA
99,2019-08-05,"Saham BBCA (Bank BCA) turun 0,72%, ini PER dan PBV terbaru (2/8)",Kontan,BBCA
100,2019-08-08,BCA Fasiltasi Lulusan SMK Siap Bekerja,Bisnis,BBCA
101,2019-08-12,"Layanan M-Banking BCA Gangguan, Nasabah Teriak",CNBC Indonesia,BBCA
102,2019-08-13,"M-Banking Eror, Nasabah Sulit Transaksi dan Penjelasan BCA",CNBC Indonesia,BBCA
103,2019-08-15,Apa Kabar Kerja Sama Alipay & WeChat dengan BCA?,CNBC Indonesia,BBCA
104,2019-08-18,Bank Artos Indonesia (ARTO) bantah akan diakuisisi BCA,Kontan,BBCA
105,2019-08-22,BrandZ Top 50: BCA Kembali Merajai Pemeringkatan,Bisnis,BBCA
106,2019-09-02,"Dukung Pendidikan Dasar Berkualitas, BCA Beri Pelatihan Guru Sekolah Binaan",Bisnis,BBCA
107,2019-09-03,"Gantikan Jan Hendra, BCA angkat Raymon Yonarto jadi sekretaris perusahaan",Kontan,BBCA
108,2019-09-04,BCA Angkat Sekretaris Perusahaan Baru,Bisnis,BBCA
109,2019-09-20,BCA Sesuaikan LTV KPR dan KKB Sesuai Profil Risiko Nasabah,Bisnis,BBCA
110,2019-09-23,"5 Berita Terpopuler Market, Langkah Blue Bird Hadapi Transportasi Daring dan BCA Alihkan Utang TAXI ke Perusahaan Singapura",Bisnis,BBCA
111,2019-09-24,BCA Kejar Penyaluran KPR Rp95 Triliun sampai Akhir Tahun,Bisnis,BBCA
112,2019-09-25,BCA: Uang elektronik berbasis kartu unggul pada kecepatan transaksi,Kontan,BBCA
113,2019-10-07,"Direstui OJK, BCA Resmi Miliki 2 Wakil Presdir",CNBC Indonesia,BBCA
114,2019-10-07,BCA Dinobatkan Sebagai Bank Paling Aman di Indonesia,Kontan,BBCA
115,2019-10-07,"BCA-Sinarmas Gelar Expo, Tawarkan Bunga Murah Kredit Rumah dan Kendaraan",Bisnis,BBCA
116,2019-10-08,Semua Nasabah BCA Bisa Mulai Berinvestasi Lewat Aplikasi Welma,Bisnis,BBCA
117,2019-10-08,"BCA Kini Punya Welma, Beli Reksa Dana via HP!",CNBC Indonesia,BBCA
118,2019-10-08,"Direksi & Komisaris Transaksi Saham BCA, Berapa Nilainya?",CNBC Indonesia,BBCA
119,2019-10-11,"BCA Multi Finance Diresmikan, Pengganti Central Sentosa Finance",Bisnis,BBCA
120,2019-10-14,Menanti Harga UNVR dan BBCA menjadi Lebih Murah,Kontan,BBCA
121,2019-10-14,Pembahasan Skema Kerja Sama BCA dengan Alipay dan WeChat Pay Masih Alot,Bisnis,BBCA
